Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
LP100000,14529,10654,562,180,1,Male,No,0,Graduate,No,Urban,Y
LP100001,22885,12859,496,84,0,Male,No,3+,Not Graduate,No,Rural,Y
LP100002,4156,10846,310,120,1,Male,Yes,3+,Graduate,Yes,Semiurban,Y
LP100003,4285,9311,419,120,1,Male,No,1,Not Graduate,No,Semiurban,Y
LP100004,18187,11156,52,360,0,Male,Yes,2,Graduate,No,Rural,N
LP100005,9822,9273,365,120,1,Male,No,3+,Not Graduate,No,Urban,Y
LP100006,6624,11327,469,120,0,Female,No,3+,Not Graduate,No,Urban,N
LP100007,15414,8665,155,360,1,Female,Yes,1,Not Graduate,Yes,Rural,Y
LP100008,6187,639,95,120,0,Male,No,3+,Not Graduate,Yes,Semiurban,Y
LP100009,3216,6459,404,84,1,Female,Yes,2,Not Graduate,Yes,Urban,Y
LP100010,20451,9763,461,84,0,Male,Yes,0,Graduate,No,Semiurban,Y
LP100011,9100,998,559,180,1,Male,No,2,Graduate,Yes,Urban,Y
LP100012,4319,2405,662,120,0,Male,Yes,0,Not Graduate,Yes,Rural,Y
LP100013,2849,5351,532,120,0,Male,No,1,Not Graduate,Yes,Urban,N
LP100014,22242,2454,613,360,1,Male,No,0,Not Graduate,Yes,Semiurban,N
LP100015,23982,14879,247,84,0,Female,Yes,1,Not Graduate,Yes,Semiurban,Y
LP100016,20056,14836,125,84,1,Male,Yes,2,Not Graduate,No,Urban,Y
LP100017,6430,12522,563,120,1,Male,Yes,0,Graduate,Yes,Rural,N
LP100018,23702,4407,493,120,1,Female,Yes,1,Graduate,Yes,Semiurban,N
LP100019,12237,3874,169,84,1,Male,No,3+,Graduate,Yes,Semiurban,N
LP100020,6727,5325,141,120,1,Female,No,2,Not Graduate,No,Semiurban,Y
LP100021,10776,7556,589,120,1,Female,Yes,2,Graduate,Yes,Semiurban,Y
LP100022,19091,8441,509,360,1,Male,No,2,Graduate,No,Rural,Y
LP100023,15328,10664,397,360,1,Female,No,0,Not Graduate,Yes,Rural,Y
LP100024,21028,14747,301,180,1,Male,No,2,Graduate,No,Semiurban,Y
LP100025,3143,13987,590,360,0,Male,No,0,Not Graduate,No,Urban,Y
LP100026,12993,2871,546,120,0,Male,No,0,Not Graduate,Yes,Urban,Y
LP100027,22233,7292,649,180,1,Male,Yes,2,Graduate,No,Rural,N
LP100028,18699,5762,495,360,0,Female,No,3+,Graduate,Yes,Semiurban,Y
LP100029,19011,1135,681,180,1,Male,No,3+,Graduate,Yes,Semiurban,N
LP100030,11131,1307,618,360,1,Male,No,2,Graduate,Yes,Rural,Y
LP100031,17935,6944,560,180,1,Male,Yes,1,Graduate,No,Urban,Y
LP100032,11153,4339,659,120,1,Male,Yes,2,Graduate,No,Semiurban,Y
LP100033,15498,8973,64,120,1,Female,Yes,0,Graduate,Yes,Urban,N
LP100034,17467,12820,172,360,1,Male,Yes,3+,Graduate,Yes,Urban,N
LP100035,14432,7681,356,120,1,Female,No,3+,Not Graduate,Yes,Semiurban,N
LP100036,14064,5936,681,360,0,Female,Yes,1,Not Graduate,No,Semiurban,Y
LP100037,24450,13545,316,180,0,Female,No,3+,Graduate,No,Semiurban,Y
LP100038,22006,9018,471,84,1,Male,No,3+,Graduate,Yes,Rural,Y
LP100039,13061,7965,462,360,0,Female,Yes,2,Graduate,No,Urban,Y
LP100040,14770,2010,508,120,0,Male,No,1,Not Graduate,No,Semiurban,N
LP100041,12718,3566,270,120,0,Female,No,2,Not Graduate,Yes,Rural,Y
LP100042,2922,7774,640,84,1,Male,No,2,Not Graduate,Yes,Urban,N
LP100043,18750,3586,656,84,0,Male,Yes,0,Not Graduate,Yes,Semiurban,Y
LP100044,19080,11232,85,360,1,Female,Yes,3+,Graduate,No,Semiurban,Y
LP100045,17692,13622,213,84,1,Female,Yes,2,Not Graduate,No,Urban,Y
LP100046,5678,4538,356,180,0,Male,No,3+,Graduate,Yes,Semiurban,N
LP100047,4253,6452,186,180,1,Male,No,2,Not Graduate,No,Semiurban,N
LP100048,10654,6228,335,120,1,Female,No,3+,Graduate,Yes,Rural,Y
LP100049,10852,3100,647,360,1,Male,Yes,1,Graduate,Yes,Semiurban,Y
LP100050,3756,11476,396,84,0,Male,Yes,0,Graduate,Yes,Semiurban,Y
LP100051,21262,492,580,120,1,Male,No,3+,Graduate,Yes,Semiurban,Y
LP100052,5275,11737,673,84,1,Male,Yes,1,Graduate,Yes,Semiurban,Y
LP100053,23973,5507,345,84,0,Male,Yes,0,Not Graduate,Yes,Urban,Y
LP100054,6681,6992,639,84,1,Male,No,3+,Not Graduate,Yes,Semiurban,Y
LP100055,2016,9117,259,84,1,Female,Yes,1,Graduate,Yes,Semiurban,Y
LP100056,22752,3574,588,120,0,Male,Yes,3+,Not Graduate,Yes,Rural,N
LP100057,2520,9631,291,360,1,Female,No,1,Not Graduate,Yes,Semiurban,Y
LP100058,14692,380,250,360,0,Male,No,2,Not Graduate,No,Semiurban,Y
LP100059,11374,5668,158,360,0,Male,No,3+,Graduate,Yes,Rural,Y
